config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 19 6 3.25454060105200856642155896118878112253309951670625776978784295456083560420367513639387814617E-8
(10+2)(17+3) 57600 19 7 4.8375452722166192686569976451127152899128173893326417142684869514112406955029916234150770245E-9
(10+2)(17+3) 57600 19 8 6.395451095221909879748072063428303547949875696638532845115482295308250116411022629823686993E-10
(10+2)(17+3) 57600 19 9 6.59704191745625540376470824533969312879626031965380061320578754886883257782419210685305011E-11
(10+2)(17+3) 57600 19 10 3.9583436692518527530577300807819563123674384017040178227616631478882864892518831073903745E-12
(10+2)(17+3) 57600 19 11 0
(10+2)(17+3) 57600 19 12 0
(10+2)(17+3) 57600 19 13 0
(10+2)(17+3) 57600 19 14 0
(10+2)(17+3) 57600 19 15 0
(10+2)(17+3) 57600 19 16 0
(10+2)(17+3) 57600 19 17 0
(10+2)(17+3) 57600 19 18 0
(10+2)(17+3) 57600 19 19 0
(10+2)(17+3) 57600 20 1 0
(10+2)(17+3) 57600 20 2 0
(10+2)(17+3) 57600 20 3 0.0000238175806571617360622129194140346055039654379239534712890069911918174532572809575590311718166489
(10+2)(17+3) 57600 20 4 0.0000034541206577045118874956353523390395121435039425753216476184241475652791657427975965892060955715
(10+2)(17+3) 57600 20 5 5.469824606818393465984786034453863231879312993274172418232633503015504721277945463628342477836E-7
(10+2)(17+3) 57600 20 6 9.29305794044185811419160086931928474425974167103377670161861197595794712179553150864763511438E-8
(10+2)(17+3) 57600 20 7 1.59233167818319824905607917879620945091157786858469686271121184523150920528428122185223670142E-8
(10+2)(17+3) 57600 20 8 2.5780218537422617581304432674915247658591345745353302985832538301907068447669150753842850520E-9
(10+2)(17+3) 57600 20 9 3.643048224896476442686949331483768259884531374372128902878076214856420312463285253105706137E-10
(10+2)(17+3) 57600 20 10 3.96339589856807579317882802788272337793391313422579469241994107650388351566016153052066941E-11
(10+2)(17+3) 57600 20 11 2.4838923916407192221289588729985531309541071521462033180768540470471555624297057176033506E-12
