config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 27 7 4.0494507617959917733699224338940055048851514665442303415641385893732215389135377366E-18
(10+2)(17+3) 57600 27 8 1.0440669943415012766195597711206564839753294262339924190289916553584304862108601087E-18
(10+2)(17+3) 57600 27 9 2.829891205337264891846497579900798354804718234823211322546142457406668405597112896E-19
(10+2)(17+3) 57600 27 10 7.84003093318917524451642384151668971738267228574750504270416204375518115874113788E-20
(10+2)(17+3) 57600 27 11 2.16728626528922348130037614304069687806205051054480365309590480875456252808383885E-20
(10+2)(17+3) 57600 27 12 5.8419704567386000523704931262483296355162119565025324938979922535137247528758059E-21
(10+2)(17+3) 57600 27 13 1.4979287634876466310494495738621060991314960531420321696097077047415959234144953E-21
(10+2)(17+3) 57600 27 14 3.545897561774343912792607088868316280414150360850319187623614355362714214563777E-22
(10+2)(17+3) 57600 27 15 7.44139668731462805880027272593777166139204222733256051017009526899072128439662E-23
(10+2)(17+3) 57600 27 16 1.30061514130909046961934573626992662842981598982462601657378322951150896418860E-23
(10+2)(17+3) 57600 27 17 1.6893766536014614900780232069874801654924386444866853235615677022425398148193E-24
(10+2)(17+3) 57600 27 18 1.230097272702768110706083850931094192755277675772295293997610529309700561322E-25
(10+2)(17+3) 57600 27 19 0
(10+2)(17+3) 57600 27 20 0
(10+2)(17+3) 57600 27 21 0
(10+2)(17+3) 57600 27 22 0
(10+2)(17+3) 57600 27 23 0
(10+2)(17+3) 57600 27 24 0
(10+2)(17+3) 57600 27 25 0
(10+2)(17+3) 57600 27 26 0
(10+2)(17+3) 57600 27 27 0
(10+2)(17+3) 57600 28 1 0
(10+2)(17+3) 57600 28 2 0
(10+2)(17+3) 57600 28 3 6.4757565167434457658120315533958655047667183516873987190725668000943304350857335843533E-15
(10+2)(17+3) 57600 28 4 8.545169176276263768971101038222901658651736620138682519077592018277109284280863508909E-16
(10+2)(17+3) 57600 28 5 1.456050802435366836784061295728183064245806107348585157433760047266267876395404853362E-16
(10+2)(17+3) 57600 28 6 3.06095697530999919284539224369900519056484756851049321929928382678845723776064002473E-17
(10+2)(17+3) 57600 28 7 7.4198649224284430580140631497950706205737883437135684228732961060644244742764866456E-18
(10+2)(17+3) 57600 28 8 1.9736941055319701050007145760964360963497645633387429144238566447167408335906595034E-18
(10+2)(17+3) 57600 28 9 5.559884102424046673053267838534432679059229248657974619592239625955647030597637107E-19
(10+2)(17+3) 57600 28 10 1.614425455786845241992060336152615636448367701279538551782752975676879489728939750E-19
(10+2)(17+3) 57600 28 11 4.72549940224613614866270629953754286129370305580070054051915341511959803500325238E-20
(10+2)(17+3) 57600 28 12 1.36628505870041411207015968538820915327915254019446857035693769309881549562668170E-20
(10+2)(17+3) 57600 28 13 3.8229579830759936027947509258834968556642471754379480062732084339309245342878883E-21
(10+2)(17+3) 57600 28 14 1.0116596507733529674818704021535097412650316964900130056985675244028766546030093E-21
(10+2)(17+3) 57600 28 15 2.460413583723029489034478561146298133727072760285798992619382589305555078207753E-22
(10+2)(17+3) 57600 28 16 5.28579917878969900628473423855278367158509871103106658571338759748166219392926E-23
(10+2)(17+3) 57600 28 17 9.4300393254867503637154419965390515380649032590385954997073676506127250721706E-24
(10+2)(17+3) 57600 28 18 1.2472718005508311886137583829462610903963474272799258046301903491389722264786E-24
(10+2)(17+3) 57600 28 19 9.22956489823632792077408522739852875515913649370714457349136935274566922792E-26
(10+2)(17+3) 57600 28 20 0
(10+2)(17+3) 57600 28 21 0
(10+2)(17+3) 57600 28 22 0
(10+2)(17+3) 57600 28 23 0
(10+2)(17+3) 57600 28 24 0
(10+2)(17+3) 57600 28 25 0
(10+2)(17+3) 57600 28 26 0
(10+2)(17+3) 57600 28 27 0
(10+2)(17+3) 57600 28 28 0
(10+2)(17+3) 57600 29 1 0
(10+2)(17+3) 57600 29 2 0
(10+2)(17+3) 57600 29 3 1.08986153622785731840095681279475103141401718495209021317722980170308993595064633094487E-14
(10+2)(17+3) 57600 29 4 1.4460391229303225760699376760612820163897707882533688059226835166379986643611328889298E-15
(10+2)(17+3) 57600 29 5 2.487164612634893281880325769397990555777066130209910394589491836923598841480241228018E-16
(10+2)(17+3) 57600 29 6 5.30742257243459315646343652538722573579756693408145748516347878260089318293118795686E-17
(10+2)(17+3) 57600 29 7 1.31354176096495610496158945678963288174103651084338625845177718815796610883128473434E-17
(10+2)(17+3) 57600 29 8 3.5883811798837379103676719979554424149180079915083008736255002793445709937383181897E-18
(10+2)(17+3) 57600 29 9 1.0445903417828634499634656435197407306681258050985955788132855662452672706031314214E-18
(10+2)(17+3) 57600 29 10 3.156181670072206197119451736518914527763743760259434559789739922401245363314610746E-19
(10+2)(17+3) 57600 29 11 9.69128710264756034079111260968322906972596618463276717308507241306925727685839876E-20
(10+2)(17+3) 57600 29 12 2.96891207146301012416581040600477226711132912618927169371895951940752779943957985E-20
(10+2)(17+3) 57600 29 13 8.9151635795322317069389918993720158881801394315010581099666258530998336734580337E-21
(10+2)(17+3) 57600 29 14 2.5755165339176742882140178918942898472818822072522881566244645166560645864811771E-21
(10+2)(17+3) 57600 29 15 7.004462758403579402791914047532666466343737267584841316251355867825984149231408E-22
(10+2)(17+3) 57600 29 16 1.744343153551805964452139367131038576278239524015863384072518773096187277294563E-22
(10+2)(17+3) 57600 29 17 3.82587524941984212669094510072352233835171563016273912649468182713692530385765E-23
(10+2)(17+3) 57600 29 18 6.9514414026793491211377224915460686273498870340614822599314638600051203606998E-24
(10+2)(17+3) 57600 29 19 9.345185250869449259272214326737217883481164467421763039967006358228368493556E-25
(10+2)(17+3) 57600 29 20 7.01679066149035256696850658374368253715196242673520054212388843201236040737E-26
(10+2)(17+3) 57600 29 21 0
(10+2)(17+3) 57600 29 22 0
(10+2)(17+3) 57600 29 23 0
(10+2)(17+3) 57600 29 24 0
(10+2)(17+3) 57600 29 25 0
(10+2)(17+3) 57600 29 26 0
