config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 19 6 1.63474442169812996617935163354165564847814157390672237977177522966234963826795622805677435E-11
(10+2)(17+3) 57600 19 7 2.4297591713303351527787232708834898692244366661397331116879742222256254840807501561542453E-12
(10+2)(17+3) 57600 19 8 3.212209693136369843897428071016188405329879852015627798814212505862377231905740837232455E-13
(10+2)(17+3) 57600 19 9 3.31346165857040881800718652737510156783126020584598766918394136458746522300857106477314E-14
(10+2)(17+3) 57600 19 10 1.9881365229475809232372804138936257778730376250522444865200492505648721225603957015860E-15
(10+2)(17+3) 57600 19 11 0
(10+2)(17+3) 57600 19 12 0
(10+2)(17+3) 57600 19 13 0
(10+2)(17+3) 57600 19 14 0
(10+2)(17+3) 57600 19 15 0
(10+2)(17+3) 57600 19 16 0
(10+2)(17+3) 57600 19 17 0
(10+2)(17+3) 57600 19 18 0
(10+2)(17+3) 57600 19 19 0
(10+2)(17+3) 57600 20 1 0
(10+2)(17+3) 57600 20 2 0
(10+2)(17+3) 57600 20 3 1.19960904251424426800390032380217096593903353375107453880576789628057660053785470915033632222E-8
(10+2)(17+3) 57600 20 4 1.7368800907546080984462973476472746213628217930262413804812515807623676640034812825002559855E-9
(10+2)(17+3) 57600 20 5 2.748600744277099637827643922002883365686570497967718864192047012442609389006461874593336531E-10
(10+2)(17+3) 57600 20 6 4.66841682632273657954394459914194413647503192984604162832470497527728388546834195612001799E-11
(10+2)(17+3) 57600 20 7 7.9981775536881398314712596291058613068360245145839292575058832439737732562269210922185749E-12
(10+2)(17+3) 57600 20 8 1.2948645920838722270363169519454537637184648541245231576547564749579477490698675578758643E-12
(10+2)(17+3) 57600 20 9 1.829774733062775828716596774835688689852875014524283036768466830591605029820652112441681E-13
(10+2)(17+3) 57600 20 10 1.99067407967968447385333450406879918346695300977515623249467379463502331751633624505622E-14
(10+2)(17+3) 57600 20 11 1.2475716096237539927043097787744778474071804990506390861907051120287254888737746061165E-15
(10+2)(17+3) 57600 20 12 0
(10+2)(17+3) 57600 20 13 0
(10+2)(17+3) 57600 20 14 0
(10+2)(17+3) 57600 20 15 0
(10+2)(17+3) 57600 20 16 0
(10+2)(17+3) 57600 20 17 0
(10+2)(17+3) 57600 20 18 0
(10+2)(17+3) 57600 20 19 0
(10+2)(17+3) 57600 20 20 0
(10+2)(17+3) 57600 21 1 0
(10+2)(17+3) 57600 21 2 0
(10+2)(17+3) 57600 21 3 2.52936518772789709754258466061831510707142572942093500826892890047653096020077063727053328445E-8
(10+2)(17+3) 57600 21 4 3.8366046670877475010954178283396770933210954558696682376611011343288028595112834520931924643E-9
(10+2)(17+3) 57600 21 5 6.451218083704003197409309737840596512104862382973722702389881336190993333786405823854229110E-10
(10+2)(17+3) 57600 21 6 1.187694321407642557348219621930013493153571877958794926483684080722510183301848573620828514E-10
(10+2)(17+3) 57600 21 7 2.26416555073080443801322532385992972589467483090504157715687669125961450826095375047970039E-11
(10+2)(17+3) 57600 21 8 4.2343999506016177713602431600885337647884563266564780775487724091897117852005018883752076E-12
(10+2)(17+3) 57600 21 9 7.338431540314278426004396330484423952801802490589379974326096528148910946774870977183483E-13
(10+2)(17+3) 57600 21 10 1.094849382493529319605228395751022673284663092334598693025179658888029087025236143567527E-13
(10+2)(17+3) 57600 21 11 1.24504205318590563003458784694151890757783152536501957899433243599408345624519294820805E-14
(10+2)(17+3) 57600 21 12 8.095368838313412619191396278880181615261490707832015727400456516268327077489259468283E-16
(10+2)(17+3) 57600 21 13 0
(10+2)(17+3) 57600 21 14 0
(10+2)(17+3) 57600 21 15 0
(10+2)(17+3) 57600 21 16 0
(10+2)(17+3) 57600 21 17 0
(10+2)(17+3) 57600 21 18 0
(10+2)(17+3) 57600 21 19 0
(10+2)(17+3) 57600 21 20 0
(10+2)(17+3) 57600 21 21 0
(10+2)(17+3) 57600 22 1 0
(10+2)(17+3) 57600 22 2 0
(10+2)(17+3) 57600 22 3 5.02959895015609304017664968616844513785461189860695620585466799699043572076364445048641157271E-8
(10+2)(17+3) 57600 22 4 7.9444291482607643083956587910603945454419499180246015057017061988736942265451450330837999913E-9
(10+2)(17+3) 57600 22 5 1.4041132461668822544407532991954880831983931454843669194479365763111740568416110777759375363E-9
(10+2)(17+3) 57600 22 6 2.757540421872435482143254665935707282666100309106655393726891649407045568055721254415587131E-10
(10+2)(17+3) 57600 22 7 5.71445827716815803091842571185963870565702297685824461550514773473703393201103773548722681E-11
(10+2)(17+3) 57600 22 8 1.19151775193822417848461818020161959695529457826047043681257572973367437458970218332532402E-11
(10+2)(17+3) 57600 22 9 2.3886893542525803927642292589944529527760924145864605625692214671674725332130095902961241E-12
(10+2)(17+3) 57600 22 10 4.374939144947382318272977481491335822437364291409683129341866827613863961224077129987299E-13
(10+2)(17+3) 57600 22 11 6.82741093274407731944991348973788672329050213696442658995230862243329197743107167482796E-14
(10+2)(17+3) 57600 22 12 8.0593135647623462378781928598295375942029525839973624361478451945902829733171683342207E-15
(10+2)(17+3) 57600 22 13 5.407964449228987463505097824035366113038162399398512622703816618881727090543669577933E-16
(10+2)(17+3) 57600 22 14 0
(10+2)(17+3) 57600 22 15 0
(10+2)(17+3) 57600 22 16 0
(10+2)(17+3) 57600 22 17 0
(10+2)(17+3) 57600 22 18 0
(10+2)(17+3) 57600 22 19 0
(10+2)(17+3) 57600 22 20 0
(10+2)(17+3) 57600 22 21 0
(10+2)(17+3) 57600 22 22 0
(10+2)(17+3) 57600 23 1 0
(10+2)(17+3) 57600 23 2 0
(10+2)(17+3) 57600 23 3 9.50731886313295288630361887838854367763405391729495518010045621959142888322574875115740248898E-8
(10+2)(17+3) 57600 23 4 1.55720772473898613297938412302867078499819407416537327418750254124062433711180770372666944303E-8
(10+2)(17+3) 57600 23 5 2.8699481328752211626531617302647489961661033037625153808850488190373495102534039297649812921E-9
(10+2)(17+3) 57600 23 6 5.943032809500041381643237536585781690125502753839775817728302635098298744428967526740450999E-10
(10+2)(17+3) 57600 23 7 1.317082731984191181813181028588348055015798229387599493607841672697577907687085319719250952E-10
(10+2)(17+3) 57600 23 8 2.99068855761848099918596614102513107583999359882208549798341274179328597598587078483699858E-11
(10+2)(17+3) 57600 23 9 6.6930768207350233166360948800200305781503572563001497253196004401020423934985856557004400E-12
(10+2)(17+3) 57600 23 10 1.4193256522830694520699306325624928456505968075939133159613109355180414818599210412763946E-12
(10+2)(17+3) 57600 23 11 2.720917387110501594918432756778401448025559280836622600319689657052172260573921452600961E-13
(10+2)(17+3) 57600 23 12 4.40985835667906918375665334827737803081755553918374417498624019685468683146621212196313E-14
(10+2)(17+3) 57600 23 13 5.3741450971170302037289265871535178941845154831096731473502839912687155494507376377924E-15
(10+2)(17+3) 57600 23 14 3.705786483602709895093863526460612391004920070804120558279415120955812021781896339627E-16
(10+2)(17+3) 57600 23 15 0
(10+2)(17+3) 57600 23 16 0
(10+2)(17+3) 57600 23 17 0
(10+2)(17+3) 57600 23 18 0
(10+2)(17+3) 57600 23 19 0
(10+2)(17+3) 57600 23 20 0
(10+2)(17+3) 57600 23 21 0
(10+2)(17+3) 57600 23 22 0
(10+2)(17+3) 57600 23 23 0
(10+2)(17+3) 57600 24 1 0
(10+2)(17+3) 57600 24 2 0
(10+2)(17+3) 57600 24 3 1.719329547196769022655019580110664012420991137039052947151222426684665485593858708448434743522E-7
(10+2)(17+3) 57600 24 4 2.91139791697262662318811809072561724179272138523284497878647751706187548179909934244217226772E-8
(10+2)(17+3) 57600 24 5 5.5619330929019660697937598514235990343290044857102096030966285860156215370187970630831145417E-9
(10+2)(17+3) 57600 24 6 1.2039301546833184775406029150512976695466848799087044897386130500070295827546682520407855082E-9
(10+2)(17+3) 57600 24 7 2.819507612393184288063274066144426861398057077760398402347931500233014930753054157362668920E-10
(10+2)(17+3) 57600 24 8 6.85794773869585845389292720210289852453458238072503110323689345732006721962653778606524099E-11
(10+2)(17+3) 57600 24 9 1.67338109512822031365218523957913276943374024680014382914373393654007896322226871241981312E-11
(10+2)(17+3) 57600 24 10 3.9647720264173206279253152411841003572126148812565523906349428669010475686038042258229740E-12
(10+2)(17+3) 57600 24 11 8.805777942145818709248488003821838439239213283719670114711489848923557341950397687597512E-13
(10+2)(17+3) 57600 24 12 1.753995799150492063250183360821852128307863906243387131838883786042839938861100554374612E-13
(10+2)(17+3) 57600 24 13 2.93584232256753380910580885225634092156088029951686832812867690284958919607870188225044E-14
(10+2)(17+3) 57600 24 14 3.6776333448678154670587157316129050553376183019190107767267715251492548973737013082960E-15
(10+2)(17+3) 57600 24 15 2.597004460818438465189142280834432305461729101662392013194497148829012551465868162801E-16
(10+2)(17+3) 57600 24 16 0
(10+2)(17+3) 57600 24 17 0
(10+2)(17+3) 57600 24 18 0
(10+2)(17+3) 57600 24 19 0
(10+2)(17+3) 57600 24 20 0
(10+2)(17+3) 57600 24 21 0
(10+2)(17+3) 57600 24 22 0
(10+2)(17+3) 57600 24 23 0
(10+2)(17+3) 57600 24 24 0
(10+2)(17+3) 57600 25 1 0
(10+2)(17+3) 57600 25 2 0
(10+2)(17+3) 57600 25 3 2.990216792457961247755231698063531092900950223898014278035644725180136634982788040874231254336E-7
(10+2)(17+3) 57600 25 4 5.22348993852514121223960301522693772920676334236637978170119788961689576022763332329673009950E-8
(10+2)(17+3) 57600 25 5 1.02969430407054310633378530064868964895562220207848103869934077685578210180100881649445162635E-8
(10+2)(17+3) 57600 25 6 2.3143839340938924940581362485024179098979101110203623254251596015768257941928600711003796521E-9
(10+2)(17+3) 57600 25 7 5.676303337734763839180525887362177204729717878175009840259645507383621433142558210154758791E-10
(10+2)(17+3) 57600 25 8 1.461154742544684720524293717620698774255369935385405280969558489084860521884403486328979237E-10
(10+2)(17+3) 57600 25 9 3.82327285573303218801121687018489234107086677804796664619470665907028266694967184070731100E-11
(10+2)(17+3) 57600 25 10 9.8844807998054251364647895671809012276349087398770187126876126004278208943952561813823069E-12
(10+2)(17+3) 57600 25 11 2.4543050684655906088774492300976662842821884975423130047265688065943615292820663918240422E-12
(10+2)(17+3) 57600 25 12 5.666284620930597867512552347876998929023316910606318576317852408911890818606213698702361E-13
(10+2)(17+3) 57600 25 13 1.166003305737650134411127881831384905337890840421854425812643398887197133755898969180066E-13
(10+2)(17+3) 57600 25 14 2.00662438395399929302897417341885435720378412352134054224103323635399072082458624780282E-14
(10+2)(17+3) 57600 25 15 2.5746641512397898875554611136222858545293717666546033862998223461740434348277580043907E-15
(10+2)(17+3) 57600 25 16 1.856616640900795548169097134747747644557775427671234480692313864380357667797437279128E-16
(10+2)(17+3) 57600 25 17 0
(10+2)(17+3) 57600 25 18 0
(10+2)(17+3) 57600 25 19 0
(10+2)(17+3) 57600 25 20 0
(10+2)(17+3) 57600 25 21 0
(10+2)(17+3) 57600 25 22 0
(10+2)(17+3) 57600 25 23 0
(10+2)(17+3) 57600 25 24 0
(10+2)(17+3) 57600 25 25 0
(10+2)(17+3) 57600 26 1 0
(10+2)(17+3) 57600 26 2 0
(10+2)(17+3) 57600 26 3 5.023045724378584653062626259543350209821380140847355919386950488250465835300568323359620298102E-7
(10+2)(17+3) 57600 26 4 9.03774009179354537049857944544451506445358966815034157645465315882808286771523717356136780495E-8
(10+2)(17+3) 57600 26 5 1.83193504240198045942593312833516507450909923480790224312756136193710618109572526829949647313E-8
(10+2)(17+3) 57600 26 6 4.2533805406243702778189979290711809347835233386285588372252484991349892270551792829781302955E-9
(10+2)(17+3) 57600 26 7 1.0849311208800180927508170586775406419742634151981379018686381545789799962391341072562151827E-9
(10+2)(17+3) 57600 26 8 2.928654379225693525252520247077238717760644868997778485209984166429304892953501682875284208E-10
(10+2)(17+3) 57600 26 9 8.11814358821506428116984554393939645457212716182895416506498579952451542779255527363146955E-11
(10+2)(17+3) 57600 26 10 2.25238060616581214622257688187688106146054253194224910610419645717904507756683831523869972E-11
(10+2)(17+3) 57600 26 11 6.1059973630606052275635384821859437311291830247418339036273291373011127116508246859623675E-12
(10+2)(17+3) 57600 26 12 1.5766522328537932532955617439542165487418668454556789945776168550931520829806458165123036E-12
(10+2)(17+3) 57600 26 13 3.761718282211543564692776528420077039740370829134062600081793014881481311536431719299827E-13
(10+2)(17+3) 57600 26 14 7.96080527741855810595750877173128240247522889517406051422963171089342596113408875507425E-14
(10+2)(17+3) 57600 26 15 1.40354023428227844483673342242400923771720802545341044990323999222421949618389929196044E-14
(10+2)(17+3) 57600 26 16 1.8392510903674052840950651057344333233488091888048660640469613814568312610112408688061E-15
(10+2)(17+3) 57600 26 17 1.351175331066909557272620704026117290432960244795628790256528016307502614718001188484E-16
(10+2)(17+3) 57600 26 18 0
(10+2)(17+3) 57600 26 19 0
(10+2)(17+3) 57600 26 20 0
(10+2)(17+3) 57600 26 21 0
(10+2)(17+3) 57600 26 22 0
(10+2)(17+3) 57600 26 23 0
(10+2)(17+3) 57600 26 24 0
(10+2)(17+3) 57600 26 25 0
(10+2)(17+3) 57600 26 26 0
(10+2)(17+3) 57600 27 1 0
(10+2)(17+3) 57600 27 2 0
(10+2)(17+3) 57600 27 3 8.179539832779893260802025342437410497529393313252999692217467429725530245252083129939758081479E-7
(10+2)(17+3) 57600 27 4 1.514109103084346047852098465739313510711267192228185206543831717651211439185554235920844188279E-7
(10+2)(17+3) 57600 27 5 3.14722315880222392539468161174739645268881536077090889637952437473986911471138721621370696468E-8
(10+2)(17+3) 57600 27 6 7.5173417679265243559640701997069769443334487473432571060820207148175764666707870560136959175E-9
(10+2)(17+3) 57600 27 7 1.9833057782412787255756974613034903266695770389200932550677401162911769381503670869563610867E-9
(10+2)(17+3) 57600 27 8 5.574515939699302630469853620965648805823367999265382141100467298076315042689293794842121695E-10
(10+2)(17+3) 57600 27 9 1.621946550647444950241452808244752939177887778034050539776882132701309823239801327838797602E-10
(10+2)(17+3) 57600 27 10 4.77066844019621864385975534727648850000920468603720584259919899885011167669664691086427694E-11
(10+2)(17+3) 57600 27 11 1.38865140692422743166847301799822766732407830159532055984889461980763693801131306876424840E-11
(10+2)(17+3) 57600 27 12 3.9164187349387983760885068335627476126443782358193797533438433506236209386303458677850511E-12
(10+2)(17+3) 57600 27 13 1.0454028513431438008565158169417640149312947987667878108326280163809665563252921433079612E-12
