config total_drives failed_disks affected_racks dl_prob
(10+2)(17+3) 57600 25 4 1.06673581760334613078063518759443322246616176953687581291730575079139826494996682295864212E-11
(10+2)(17+3) 57600 25 5 1.7446905728885419365282793307629491018140202613962536170230620463251438119362902717137850E-12
(10+2)(17+3) 57600 25 6 3.439943992162196909888929023865834669394670136034326586753433965924275071961936970083362E-13
(10+2)(17+3) 57600 25 7 7.63922541220336434505024093360548522716359266244909617775533391653366194587171463436339E-14
(10+2)(17+3) 57600 25 8 1.81664562243376156105266607189643288255213322203989863256065427220685810334997503962496E-14
(10+2)(17+3) 57600 25 9 4.4520232813250606023916032648710771548194529252249981753954418784729507015409774710190E-15
(10+2)(17+3) 57600 25 10 1.0887328542862940319159114881684771642826923859566921331572521028051222916427067827007E-15
(10+2)(17+3) 57600 25 11 2.576151108096191428382296461179552138169238246331121294593171777419218654544146735677E-16
(10+2)(17+3) 57600 25 12 5.70064424542318470066004797659082120912227941236793256290343198018625709985162675044E-17
(10+2)(17+3) 57600 25 13 1.12955056583667908359630904574336272121140093764336006901450920818087924962954709052E-17
(10+2)(17+3) 57600 25 14 1.8787881847751558017769817293365688654323374361364118916534555357864338149373293113E-18
(10+2)(17+3) 57600 25 15 2.337138591916358611455335910364304014289219029442446012565659635269995605684424260E-19
(10+2)(17+3) 57600 25 16 1.63821207878207595990822211482929523321193390136853279014323564591772335530185177E-20
(10+2)(17+3) 57600 25 17 0
(10+2)(17+3) 57600 25 18 0
(10+2)(17+3) 57600 25 19 0
(10+2)(17+3) 57600 25 20 0
(10+2)(17+3) 57600 25 21 0
(10+2)(17+3) 57600 25 22 0
(10+2)(17+3) 57600 25 23 0
(10+2)(17+3) 57600 25 24 0
(10+2)(17+3) 57600 25 25 0
(10+2)(17+3) 57600 26 1 0
(10+2)(17+3) 57600 26 2 0
(10+2)(17+3) 57600 26 3 1.513700266756923074108992660076055473564488624266236152317502872997838960216946315454754432E-10
(10+2)(17+3) 57600 26 4 1.97105184956582358773682199492699276715964901690675503990265945361395765000210632729253546E-11
(10+2)(17+3) 57600 26 5 3.2769020456528982210377898522436678555956495005890910631152248914286982117044513452167151E-12
(10+2)(17+3) 57600 26 6 6.626602916690313584068395410110702444070798148964159353632675678643339588859912553640563E-13
(10+2)(17+3) 57600 26 7 1.523061670892059504319934813315068168196493267520499007092433621419125316496433174554774E-13
(10+2)(17+3) 57600 26 8 3.78480744384623036763664729161537051101054475376919908872729227001006050154113841218495E-14
(10+2)(17+3) 57600 26 9 9.7997866190944495355971275072316962642382995916625910786633256331363064277734288176734E-15
(10+2)(17+3) 57600 26 10 2.5664275447496531019083515782214444988360208081903146347682370754199289098013822765253E-15
(10+2)(17+3) 57600 26 11 6.618726690452777508407645251807632395663935705578356562207141008511938886163600801186E-16
(10+2)(17+3) 57600 26 12 1.635756378227158285895827892346192395144468326084796275003149181608488295575422953050E-16
(10+2)(17+3) 57600 26 13 3.75342008912838987125858418171777080561396951174858672317427995057481141441653666144E-17
(10+2)(17+3) 57600 26 14 7.6693002284720403564775274205770006029585703052615896869532480752841392703169809619E-18
(10+2)(17+3) 57600 26 15 1.3097439534973511791783951413933069584928600815946332968877454821453253412651989970E-18
(10+2)(17+3) 57600 26 16 1.667034076858687394581805023267647467219772086339044745830147382018218391317011863E-19
(10+2)(17+3) 57600 26 17 1.19222875586864677202313813491469444683755862137378910276603603109892686922308552E-20
(10+2)(17+3) 57600 26 18 0
(10+2)(17+3) 57600 26 19 0
(10+2)(17+3) 57600 26 20 0
(10+2)(17+3) 57600 26 21 0
(10+2)(17+3) 57600 26 22 0
(10+2)(17+3) 57600 26 23 0
(10+2)(17+3) 57600 26 24 0
(10+2)(17+3) 57600 26 25 0
(10+2)(17+3) 57600 26 26 0
(10+2)(17+3) 57600 27 1 0
(10+2)(17+3) 57600 27 2 0
(10+2)(17+3) 57600 27 3 2.687943473362120274229487135095645537736617932042586886180559044029244018674312874255901865E-10
(10+2)(17+3) 57600 27 4 3.52532303633983046832615688951760422893457798036202691271874583310306505426080213867241043E-11
(10+2)(17+3) 57600 27 5 5.9403925478291481395067801822167659771110036550688395668501599196204467906684028063472190E-12
(10+2)(17+3) 57600 27 6 1.2269016325688783199678118659991438308808212786919655511481806487563001287903239982635670E-12
(10+2)(17+3) 57600 27 7 2.902420813737995247418883774862767096272445968748824353599433255950220715428535540163587E-13
(10+2)(17+3) 57600 27 8 7.48333158276909528583806999863676665672975782151557525013390778175472544746998942099616E-14
(10+2)(17+3) 57600 27 9 2.02832588766810421256675271710464528211788979823630842480127908711112911276056424912411E-14
(10+2)(17+3) 57600 27 10 5.6193563758748324735983859983772699248751177685424919579003923310301119110516569980510E-15
(10+2)(17+3) 57600 27 11 1.5534080391928885918518592146776140594130852207659120256533953693729260963738360355665E-15
(10+2)(17+3) 57600 27 12 4.187250027682841839055796029730368203351972802722245596401942285091047414684994242532E-16
(10+2)(17+3) 57600 27 13 1.073645340346622464832632961543398757432526906005783707841919251181058794000370271451E-16
(10+2)(17+3) 57600 27 14 2.54153409826477700555262798401218948146081390019309764181917650693543039009969487070E-17
(10+2)(17+3) 57600 27 15 5.3336466762549796986349028076080392489750070172925388223822733179342097947677056877E-18
(10+2)(17+3) 57600 27 16 9.322203955674151164121974687567406615826960955256746369964072937308032716585978944E-19
(10+2)(17+3) 57600 27 17 1.210866552497287237153116130415718729002731645042058114212053226907129977409292444E-19
(10+2)(17+3) 57600 27 18 8.8167646963665110745660440298998316098273842870539986535653024771910185629341205E-21
(10+2)(17+3) 57600 27 19 0
(10+2)(17+3) 57600 27 20 0
(10+2)(17+3) 57600 27 21 0
(10+2)(17+3) 57600 27 22 0
(10+2)(17+3) 57600 27 23 0
(10+2)(17+3) 57600 27 24 0
