data,parity,throughput
43,1,7088.123793
43,2,5853.799191
43,3,4658.160879
43,4,3338.36614
43,5,2918.063192
43,6,2903.857424
43,7,2153.40427
43,8,2060.455063
43,9,1937.584811
43,10,1774.395214
44,1,6656.817796
44,2,5726.632576
44,3,4480.864369
44,4,3321.382904
44,5,2874.446604
44,6,2861.421827
44,7,2082.559165
44,8,2053.702062
44,9,1931.276399
44,10,1758.429543
45,1,6652.973565
45,2,5678.00336
45,3,4418.046135
45,4,3367.666879
45,5,2908.172946
45,6,2832.609269
45,7,2138.318212
45,8,2076.596851
45,9,1921.432098
45,10,1744.562713
46,1,7054.720318
46,2,5750.201077
46,3,4455.088577
46,4,3325.025716
46,5,2835.578265
46,6,2834.427009
46,7,2109.504502
46,8,2019.731563
46,9,1888.603301
46,10,1735.510802
47,1,6530.106481
47,2,5652.896955
47,3,4269.15253
47,4,3315.675406
47,5,2869.380755
47,6,2783.096738
47,7,2066.879902
47,8,2015.980464
47,9,1860.59304
47,10,1713.106663
48,1,6623.976324
48,2,5636.756435
48,3,4193.211317
48,4,3281.766613
48,5,2839.462126
48,6,2767.927478
48,7,2045.419139
48,8,2004.640823
48,9,1873.381122
48,10,1717.392429
49,1,7003.336378
49,2,5567.829355
49,3,4274.956407
49,4,3258.734504
49,5,2828.366262
49,6,2777.885284
49,7,2069.857352
49,8,1994.543522
49,9,1866.626627
49,10,1724.036195
50,1,6859.740739
50,2,5609.572335
50,3,4090.70224
50,4,3284.873965
50,5,2781.614197
50,6,2723.398394
50,7,2050.475941
50,8,2001.526877
50,9,1842.898954
50,10,1674.926658
